"GEOID","county","age_med","hh_income_med","ed_total","higher_ed","race_total","white","other_race","other_race_prop","other_race_min","higher_ed_prop","aging_q"
"10005","Sussex County, Delaware",52.7,81792,195931,71112,255956,189906,66050,0.258052165215896,0,0.362944097667036,4
"11001","District of Columbia, District of Columbia",34.9,101027,479231,313274,671803,257963,413840,0.6160139207476,1,0.653701450866075,1
"12001","Alachua County, Florida",32.3,58354,172533,83720,284030,177962,106068,0.373439425412809,0,0.48524050471504,1
"12005","Bay County, Florida",41.9,66245,133422,37791,185134,139422,45712,0.246913046766126,0,0.283244142645141,3
"12009","Brevard County, Florida",47,75320,472034,170348,630693,465865,164828,0.261344267337675,0,0.360880784011321,4
"12011","Broward County, Florida",41.6,70978,1396625,518243,1947026,726846,1220180,0.626689114577823,1,0.371068110623825,3
"12015","Charlotte County, Florida",60,64860,168448,46382,202661,167355,35306,0.174212107904333,0,0.275349069148936,4
"12017","Citrus County, Florida",57,51532,129884,25194,162529,141319,21210,0.13049978773019,0,0.193973083674664,4
"12019","Clay County, Florida",40.2,85594,158070,43283,226589,160497,66092,0.291682297022362,0,0.273821724552413,3
"12021","Collier County, Florida",53.2,80815,307777,126513,397994,253591,144403,0.362827077795143,0,0.41105410735695,4
"12023","Columbia County, Florida",41.1,53985,50436,9466,71908,52129,19779,0.275059798631585,0,0.187683400745499,3
"12031","Duval County, Florida",36.7,70533,699621,238387,1016536,527881,488655,0.480706044842485,0,0.340737342075209,1
"12033","Escambia County, Florida",38.5,61924,220897,67646,324878,206635,118243,0.363961240835021,0,0.306233221818314,2
"12035","Flagler County, Florida",53.4,71211,99856,31692,126705,96299,30406,0.239974744485222,0,0.317377022912995,4
"12053","Hernando County, Florida",47.3,61462,155415,33217,206896,157582,49314,0.238351635604362,0,0.213730978348293,4
"12055","Highlands County, Florida",54.6,52799,82018,15198,105618,72172,33446,0.316669507091594,0,0.185300787631983,4
"12057","Hillsborough County, Florida",37.8,74308,1045746,396672,1513301,752812,760489,0.502536507938606,1,0.37931964358458,2
"12061","Indian River County, Florida",55.7,67407,132176,44813,167352,127153,40199,0.240206271810316,0,0.339040370415204,4
"12069","Lake County, Florida",46.7,67559,305473,82399,410139,273809,136330,0.332399503582932,0,0.269742334019701,4
"12071","Lee County, Florida",49.5,71072,621503,199522,822453,551445,271008,0.329511838366448,0,0.321031435085591,4
"12073","Leon County, Florida",32,61297,176899,87075,297369,165415,131954,0.443738251129069,0,0.492230029564893,1
"12081","Manatee County, Florida",50.1,72108,328675,117256,429125,313839,115286,0.268653655694728,0,0.356753632007302,4
"12083","Marion County, Florida",48.7,54190,296702,67837,396415,268925,127490,0.321607406379678,0,0.228636814042372,4
"12085","Martin County, Florida",54.1,80024,125944,47154,162006,127370,34636,0.213794550819105,0,0.374404497236867,4
"12086","Miami-Dade County, Florida",40.9,67263,1919710,668071,2673837,717549,1956288,0.731640709587009,1,0.348006209271192,3
"12087","Monroe County, Florida",49.8,79420,63938,23504,81708,54149,27559,0.337286434620845,0,0.367606118427226,4
"12089","Nassau County, Florida",47.6,90883,73523,26823,97899,83899,14000,0.143004525071758,0,0.364824612706228,4
"12091","Okaloosa County, Florida",37.1,77830,150333,49325,216482,156400,60082,0.277538086307407,0,0.328104940365721,2
"12095","Orange County, Florida",36.7,72324,992892,406859,1452726,603352,849374,0.584675981568444,1,0.409771656937512,1
"12097","Osceola County, Florida",37.3,63271,282891,83226,422545,143459,279086,0.660488232022625,1,0.294198118710033,2
"12099","Palm Beach County, Florida",45.5,76592,1122303,457101,1518477,813766,704711,0.464090664527681,0,0.407288406072157,4
"12101","Pasco County, Florida",43.5,65999,442301,127810,608794,435604,173190,0.284480464656353,0,0.288966111313336,4
"12103","Pinellas County, Florida",49.2,66472,752553,280336,961739,709779,251960,0.261983760666875,0,0.372513298066714,4
"12105","Polk County, Florida",39.5,62051,545515,123446,787404,433529,353875,0.449419865786813,0,0.226292585905062,2
"12107","Putnam County, Florida",45,46161,54455,8989,74731,53489,21242,0.284246162904283,0,0.165072077862455,4
"12109","St. Johns County, Florida",44.3,103017,220932,116323,306841,243401,63440,0.206752031182274,0,0.526510419495591,4
"12111","St. Lucie County, Florida",45.2,62705,262047,69588,358704,208269,150435,0.419384785226817,0,0.265555415631547,4
"12113","Santa Rosa County, Florida",39.7,83672,139888,42317,198268,157967,40301,0.20326527730143,0,0.302506290746883,3
"12115","Sarasota County, Florida",57.5,78341,372225,151366,462286,381529,80757,0.174690559523758,0,0.406651890657532,4
"12117","Seminole County, Florida",40,80550,341302,137882,478772,284811,193961,0.405121853408303,0,0.403988256734505,3
"12119","Sumter County, Florida",68.6,73391,130872,49682,144970,122706,22264,0.153576602055598,0,0.379622837581759,4
"12127","Volusia County, Florida",46.6,64857,431403,119384,579192,407982,171210,0.295601458583682,0,0.276734283257186,4
"12131","Walton County, Florida",44.6,74629,61295,19873,83304,69310,13994,0.167987131470278,0,0.324218941186067,4
"13013","Barrow County, Georgia",36,78216,59170,13388,89299,61011,28288,0.316778463364651,0,0.226263309109346,1
"13015","Bartow County, Georgia",37.6,84590,77686,18002,112816,88608,24208,0.2145794922706,0,0.231727724429112,2
"13021","Bibb County, Georgia",36.8,47625,103347,26248,156197,54831,101366,0.648962528089528,1,0.25397931241352,1
"13031","Bulloch County, Georgia",29.5,47297,45609,14220,83059,52487,30572,0.36807570522159,0,0.311780569624416,1
"13045","Carroll County, Georgia",34.4,72595,78942,18527,124592,87632,36960,0.29664825992038,0,0.234691292341213,1
"13047","Catoosa County, Georgia",42,67081,48886,12061,68826,60450,8376,0.121698195449394,0,0.246716851450313,4
"13051","Chatham County, Georgia",37.4,64157,207102,73713,301107,143311,157796,0.524052911423514,1,0.355926065417041,2
"13057","Cherokee County, Georgia",40.3,99234,194601,80789,281278,214924,66354,0.2359018479938,0,0.415152029023489,3
"13059","Clarke County, Georgia",29.3,47171,73843,33599,129875,73301,56574,0.435603464870067,0,0.45500589087659,1
"13063","Clayton County, Georgia",34.2,58325,187870,42935,296564,26732,269832,0.909860940640132,1,0.228535689572577,1
"13067","Cobb County, Georgia",37.6,97084,528777,272422,771952,381379,390573,0.505955033473584,1,0.51519260482207,2
"13073","Columbia County, Georgia",37.2,93307,110160,41263,162419,107629,54790,0.337337380478885,0,0.374573347857662,2
"13077","Coweta County, Georgia",38.8,84747,105024,37421,152882,108107,44775,0.29287293468165,0,0.356309034125533,2
"13089","DeKalb County, Georgia",36.5,77169,527161,244263,762820,228709,534111,0.700179596759393,1,0.463355597246382,1
"13095","Dougherty County, Georgia",35.9,41425,54764,13239,82966,18919,64047,0.771966829785695,1,0.24174640274633,1
"13097","Douglas County, Georgia",37.4,80933,96016,27966,147316,47194,100122,0.679641043742703,1,0.291263956007332,2
"13103","Effingham County, Georgia",37.3,89885,45816,11622,69041,51504,17537,0.254008487710201,0,0.253666841278156,2
"13113","Fayette County, Georgia",43.9,108643,83439,40375,122030,71962,50068,0.410292551012046,0,0.483886432004219,4
"13115","Floyd County, Georgia",38.2,56420,65652,15795,99443,70082,29361,0.295254567943445,0,0.240586730031073,2
"13117","Forsyth County, Georgia",39.6,129410,177175,100835,267237,173725,93512,0.349921605166949,0,0.569126569775646,3
"13121","Fulton County, Georgia",36.4,90346,744974,433214,1074634,410470,664164,0.618037396918393,1,0.581515596517462,1
"13127","Glynn County, Georgia",44.9,63228,61231,19874,85079,54892,30187,0.354811410571351,0,0.324574153614999,4
"13135","Gwinnett County, Georgia",36.1,83901,630083,244414,975353,330406,644947,0.661244698073415,1,0.38790762486847,1
"13139","Hall County, Georgia",38.1,76888,140044,42576,212692,134337,78355,0.368396554642394,0,0.304018736968381,2
"13151","Henry County, Georgia",36.8,81988,162471,46448,248364,82818,165546,0.666545876213944,1,0.285884865606785,1
"13153","Houston County, Georgia",35.9,71068,110175,35647,169631,90817,78814,0.464620263984767,0,0.323548899478103,1
"13157","Jackson County, Georgia",37.3,83843,56452,14864,83936,66362,17574,0.209373808616088,0,0.263303337348544,2
"13179","Liberty County, Georgia",28.2,61546,39053,8638,68030,28221,39809,0.585168308099368,1,0.221186592579315,1
"13185","Lowndes County, Georgia",31.1,52307,71690,21059,119739,62777,56962,0.475718020026892,0,0.293750871809178,1
"13215","Muscogee County, Georgia",35.4,53750,133791,42502,202616,78029,124587,0.614892209894579,1,0.317674581997294,1
"13217","Newton County, Georgia",37.8,73579,75979,18779,117621,47782,69839,0.5937630185086,1,0.247160399584096,2
"13223","Paulding County, Georgia",37.2,86847,119091,31196,178421,113748,64673,0.362474148222463,0,0.261950945075614,2
"13245","Richmond County, Georgia",35,49915,135742,34400,206640,68127,138513,0.67031068524971,1,0.253421932784252,1
"13247","Rockdale County, Georgia",40,73998,63456,20758,94984,24201,70783,0.74520971953171,1,0.327124306606152,3
"13255","Spalding County, Georgia",37.3,54803,46443,9259,68919,38695,30224,0.43854379779161,0,0.199362659604246,2
"13285","Troup County, Georgia",37.4,57988,47618,11703,70191,39938,30253,0.431009673604878,0,0.245768406904952,2
"13295","Walker County, Georgia",42.5,52957,48422,9081,68915,60667,8248,0.11968366828702,0,0.187538722068481,4
"13297","Walton County, Georgia",41.6,86240,71140,17613,103065,71992,31073,0.301489351380197,0,0.247582232218161,3
"13313","Whitfield County, Georgia",36.3,61037,66351,13717,103132,62568,40564,0.393321180622891,0,0.206733884945216,1
"15001","Hawaii County, Hawaii",44.1,72568,149453,48006,206315,62783,143532,0.695693478418922,1,0.321211350725646,4
"15003","Honolulu County, Hawaii",39.7,96580,701785,264502,995638,184765,810873,0.814425524136282,1,0.376898907785148,3
"15007","Kauai County, Hawaii",43.6,87730,52869,15463,73810,21625,52185,0.707018019238586,1,0.292477633395752,4
"15009","Maui County, Hawaii",43.2,94760,119668,34722,164365,49939,114426,0.696170109208165,1,0.290152755958151,4
"16001","Ada County, Idaho",39.1,87774,358124,164971,518907,431985,86922,0.167509784990374,0,0.460653293272721,2
"16005","Bannock County, Idaho",35.3,61452,57716,17096,89517,74977,14540,0.162427248455601,0,0.296209023494352,1
"16019","Bonneville County, Idaho",33.6,74154,80883,27340,129496,108383,21113,0.163039785012664,0,0.338019114028906,1
"16027","Canyon County, Idaho",35,70818,160656,36016,251065,181856,69209,0.275661681237926,0,0.224180858480231,1
"16055","Kootenai County, Idaho",41.1,75328,129507,38325,183578,159590,23988,0.130669252306921,0,0.295929949732447,3
"16083","Twin Falls County, Idaho",36.3,63560,61479,13849,93696,77454,16242,0.173347848360656,0,0.225263911254249,1
"17019","Champaign County, Illinois",30.9,60168,119927,57328,206542,134858,71684,0.347067424543192,0,0.478024131346569,1
"17031","Cook County, Illinois",38.1,76632,3589350,1523360,5109292,2227288,2882004,0.564071108090906,1,0.424411105074735,2
"17037","DeKalb County, Illinois",32.8,68590,61327,18706,100232,73993,26239,0.261782664219012,0,0.305020627129975,1
"17043","DuPage County, Illinois",40.2,102152,642205,338251,920901,597013,323888,0.351707729712532,0,0.526702532680375,3
"17089","Kane County, Illinois",39.3,93343,344233,123629,514182,294704,219478,0.426848858964336,0,0.359143370914468,2
"17091","Kankakee County, Illinois",38.5,71416,70777,15488,106074,77838,28236,0.266191526670061,0,0.218828150387838,2
"17093","Kendall County, Illinois",35,101447,87249,31833,137254,91083,46171,0.336390924854649,0,0.364852319224289,1
"17097","Lake County, Illinois",39.3,101442,473166,227469,709150,432684,276466,0.389855460762885,0,0.480738260990857,2
"17099","LaSalle County, Illinois",42.5,63626,77585,14967,108078,92443,15635,0.144664038934843,0,0.192911000837791,4
"17111","McHenry County, Illinois",41.3,98907,215933,77521,311747,251078,60669,0.194609731609286,0,0.359004876512622,3
"17113","McLean County, Illinois",33.9,70674,105182,49973,171141,134386,36755,0.21476443400471,0,0.47510980966325,1
"17115","Macon County, Illinois",41.3,60332,69837,17214,101483,75946,25537,0.251638205413715,0,0.24648825121354,3
"17119","Madison County, Illinois",39.9,66996,184485,58138,263864,219448,44416,0.168329139253555,0,0.31513673198363,3
"17143","Peoria County, Illinois",38.5,65301,118949,42304,178383,118928,59455,0.333299697841162,0,0.355648218984607,2
"17161","Rock Island County, Illinois",40.1,62086,98274,25255,141527,101808,39719,0.280646095797975,0,0.256985570954678,3
"17163","St. Clair County, Illinois",39.9,67395,174476,54594,252671,151794,100877,0.399242493202623,0,0.312902634173181,3
"17167","Sangamon County, Illinois",40.6,73784,135947,48781,194534,153515,41019,0.210857742091357,0,0.358823659220137,3
"17179","Tazewell County, Illinois",41.7,72930,91959,26912,129911,121068,8843,0.0680696784721848,0,0.292652160201829,3
"17183","Vermilion County, Illinois",41.5,51515,50395,7822,72337,56170,16167,0.223495583173203,0,0.155213810893938,3
"17197","Will County, Illinois",39.2,96668,469904,170329,696757,433552,263205,0.377757238176294,0,0.362476165344411,2
"17199","Williamson County, Illinois",42.3,67631,48322,14214,66695,59344,7351,0.110218157283155,0,0.294151732130293,4
"17201","Winnebago County, Illinois",39.3,62011,192109,51221,282188,187672,94516,0.334939827349143,0,0.26662467661588,2
"18003","Allen County, Indiana",36.1,65732,257114,80548,391449,279119,112330,0.286959476202519,0,0.313277378905855,1
"18005","Bartholomew County, Indiana",38,65739,56381,19002,83540,67610,15930,0.190687096001915,0,0.337028431563825,2
"18011","Boone County, Indiana",38.7,102005,49760,24270,74164,64930,9234,0.124507847473168,0,0.48774115755627,2
"18019","Clark County, Indiana",40,68350,86525,25685,124237,101712,22525,0.181306696072829,0,0.296850621207743,3
"18035","Delaware County, Indiana",36,54087,70214,18734,112031,96311,15720,0.140318304754934,0,0.266812886318968,1
"18039","Elkhart County, Indiana",35.4,61922,131148,27092,206890,157372,49518,0.239344579245009,0,0.206575776984781,1
"18043","Floyd County, Indiana",41.4,73899,56294,21489,80714,69893,10821,0.134065961295438,0,0.381728070487086,3
"18053","Grant County, Indiana",39.5,50366,43745,9418,66022,55409,10613,0.160749447153979,0,0.215293176363013,2
"18057","Hamilton County, Indiana",38,114807,244960,150787,364921,291210,73711,0.201991663949184,0,0.61555764206401,2
"18059","Hancock County, Indiana",39.6,86504,57464,20689,83070,73430,9640,0.116046707596003,0,0.360034108311291,3
"18063","Hendricks County, Indiana",39.4,93193,123354,44821,182534,142099,40435,0.221520374286434,0,0.363352627397571,2
"18067","Howard County, Indiana",42.3,55297,58469,11935,83574,71547,12027,0.14390839256228,0,0.204125262959859,4
"18081","Johnson County, Indiana",38.1,81670,112585,38512,165782,140647,25135,0.151614771205559,0,0.342070435670827,2
"18085","Kosciusko County, Indiana",39.6,68778,54879,13678,80826,70448,10378,0.128399277460223,0,0.249239235408808,3
"18089","Lake County, Indiana",39.4,66085,341318,92531,499689,273431,226258,0.452797640132162,0,0.271099092342039,2
"18091","LaPorte County, Indiana",41.3,66659,78953,18624,111675,88364,23311,0.208739646295053,0,0.235887173381632,3
"18095","Madison County, Indiana",40.6,58937,92123,19005,131744,111044,20700,0.157122905027933,0,0.206300272461817,3
"18097","Marion County, Indiana",34.5,62565,639061,228026,969466,515563,453903,0.46819898789643,0,0.356814138243454,1
"18105","Monroe County, Indiana",30.9,65043,80951,41765,139745,116062,23683,0.169472968621418,0,0.515929389383701,1
"18109","Morgan County, Indiana",41.8,75344,50867,11959,72236,68436,3800,0.0526053491333961,0,0.235103308628384,3
