"strike_binary","employer","industry","address","city","state","zip_code","approximate_number_of_participants","duration_amount","authorized","worker_demands","time_to_work","hh_total","hh_low_income","population","old","hh_low_income_prop","old_prop","old_prop_high","income_q","ed_total","other_race","other_race_prop","other_race_min","higher_ed_prop","aging_q","geometry"
"0","Kapiolani Medical Center for Women & Children","Health Care and Social Assistance","1319 Punahou St","Honolulu","Hawaii","96826",NA,1,"MISSING","Staffing",451471,338438,17316,995638,195314,0.0511644673470473,0.196169692197365,1,3,701785,810873,0.814425524136282,1,0.376898907785148,3,c(-157.8341111, 21.2997565)
"0","Kapiolani Medical Center for Women & Children","Health Care and Social Assistance","1319 Punahou St","Honolulu","Hawaii","96826",NA,1,"MISSING","Staffing",451471,338438,17316,995638,195314,0.0511644673470473,0.196169692197365,1,3,701785,810873,0.814425524136282,1,0.376898907785148,3,c(-157.8341111, 21.2997565)
"0","Kapiolani Medical Center for Women & Children","Health Care and Social Assistance","1319 Punahou St","Honolulu","Hawaii","96826",NA,1,"MISSING","Staffing",451471,338438,17316,995638,195314,0.0511644673470473,0.196169692197365,1,3,701785,810873,0.814425524136282,1,0.376898907785148,3,c(-157.8341111, 21.2997565)
"0","Kapiolani Medical Center for Women & Children","Health Care and Social Assistance","1319 Punahou St","Honolulu","Hawaii","96826",NA,1,"MISSING","Staffing",451471,338438,17316,995638,195314,0.0511644673470473,0.196169692197365,1,3,701785,810873,0.814425524136282,1,0.376898907785148,3,c(-157.8341111, 21.2997565)
"0","Kapiolani Medical Center for Women & Children","Health Care and Social Assistance","1319 Punahou St","Honolulu","Hawaii","96826",NA,1,"MISSING","Staffing",451471,338438,17316,995638,195314,0.0511644673470473,0.196169692197365,1,3,701785,810873,0.814425524136282,1,0.376898907785148,3,c(-157.8341111, 21.2997565)
"0","Kapiolani Medical Center for Women & Children","Health Care and Social Assistance","1319 Punahou St","Honolulu","Hawaii","96826",NA,1,"MISSING","Staffing",451471,338438,17316,995638,195314,0.0511644673470473,0.196169692197365,1,3,701785,810873,0.814425524136282,1,0.376898907785148,3,c(-157.8341111, 21.2997565)
"0","Kapiolani Medical Center for Women & Children","Health Care and Social Assistance","1319 Punahou St","Honolulu","Hawaii","96826",NA,1,"MISSING","Staffing",451471,338438,17316,995638,195314,0.0511644673470473,0.196169692197365,1,3,701785,810873,0.814425524136282,1,0.376898907785148,3,c(-157.8341111, 21.2997565)
"0","Kapiolani Medical Center for Women & Children","Health Care and Social Assistance","1319 Punahou St","Honolulu","Hawaii","96826",NA,1,"MISSING","Staffing",451471,338438,17316,995638,195314,0.0511644673470473,0.196169692197365,1,3,701785,810873,0.814425524136282,1,0.376898907785148,3,c(-157.8341111, 21.2997565)
"0","Kapiolani Medical Center for Women & Children","Health Care and Social Assistance","1319 Punahou St","Honolulu","Hawaii","96826",NA,1,"MISSING","Staffing",451471,338438,17316,995638,195314,0.0511644673470473,0.196169692197365,1,3,701785,810873,0.814425524136282,1,0.376898907785148,3,c(-157.8341111, 21.2997565)
"0","Kapiolani Medical Center for Women & Children","Health Care and Social Assistance","1319 Punahou St","Honolulu","Hawaii","96826",NA,1,"MISSING","Staffing",451471,338438,17316,995638,195314,0.0511644673470473,0.196169692197365,1,3,701785,810873,0.814425524136282,1,0.376898907785148,3,c(-157.8341111, 21.2997565)
"0","HCA Healthcare","Health Care and Social Assistance","3031 N Rocky Point Dr W","Tampa","Florida","33607",100,1,"MISSING","Staffing",602900,582824,32401,1513301,229170,0.055593112157358,0.151437156256422,1,3,1045746,760489,0.502536507938606,1,0.37931964358458,2,c(-82.5682177, 27.9695213)
"0","HCA Healthcare","Health Care and Social Assistance","3031 N Rocky Point Dr W","Tampa","Florida","33607",100,1,"MISSING","Staffing",602900,582824,32401,1513301,229170,0.055593112157358,0.151437156256422,1,3,1045746,760489,0.502536507938606,1,0.37931964358458,2,c(-82.5682177, 27.9695213)
"0","HCA Healthcare","Health Care and Social Assistance","3031 N Rocky Point Dr W","Tampa","Florida","33607",100,1,"MISSING","Staffing",602900,582824,32401,1513301,229170,0.055593112157358,0.151437156256422,1,3,1045746,760489,0.502536507938606,1,0.37931964358458,2,c(-82.5682177, 27.9695213)
"0","HCA Healthcare","Health Care and Social Assistance","3031 N Rocky Point Dr W","Tampa","Florida","33607",100,1,"MISSING","Staffing",602900,582824,32401,1513301,229170,0.055593112157358,0.151437156256422,1,3,1045746,760489,0.502536507938606,1,0.37931964358458,2,c(-82.5682177, 27.9695213)
"0","HCA Healthcare","Health Care and Social Assistance","3031 N Rocky Point Dr W","Tampa","Florida","33607",100,1,"MISSING","Staffing",602900,582824,32401,1513301,229170,0.055593112157358,0.151437156256422,1,3,1045746,760489,0.502536507938606,1,0.37931964358458,2,c(-82.5682177, 27.9695213)
"0","HCA Healthcare","Health Care and Social Assistance","3031 N Rocky Point Dr W","Tampa","Florida","33607",100,1,"MISSING","Staffing",602900,582824,32401,1513301,229170,0.055593112157358,0.151437156256422,1,3,1045746,760489,0.502536507938606,1,0.37931964358458,2,c(-82.5682177, 27.9695213)
"0","HCA Healthcare","Health Care and Social Assistance","3031 N Rocky Point Dr W","Tampa","Florida","33607",100,1,"MISSING","Staffing",602900,582824,32401,1513301,229170,0.055593112157358,0.151437156256422,1,3,1045746,760489,0.502536507938606,1,0.37931964358458,2,c(-82.5682177, 27.9695213)
"0","HCA Healthcare","Health Care and Social Assistance","3031 N Rocky Point Dr W","Tampa","Florida","33607",100,1,"MISSING","Staffing",602900,582824,32401,1513301,229170,0.055593112157358,0.151437156256422,1,3,1045746,760489,0.502536507938606,1,0.37931964358458,2,c(-82.5682177, 27.9695213)
"0","HCA Healthcare","Health Care and Social Assistance","3031 N Rocky Point Dr W","Tampa","Florida","33607",100,1,"MISSING","Staffing",602900,582824,32401,1513301,229170,0.055593112157358,0.151437156256422,1,3,1045746,760489,0.502536507938606,1,0.37931964358458,2,c(-82.5682177, 27.9695213)
"0","HCA Healthcare","Health Care and Social Assistance","3031 N Rocky Point Dr W","Tampa","Florida","33607",100,1,"MISSING","Staffing",602900,582824,32401,1513301,229170,0.055593112157358,0.151437156256422,1,3,1045746,760489,0.502536507938606,1,0.37931964358458,2,c(-82.5682177, 27.9695213)
"0","Google","Information","111 8th Ave","New York","New York","10011",NA,1,"MISSING","Racial justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-74.0033889, 40.7414911)
"0","Stranahan’s Distillery - Proximo Spirits","Manufacturing","200 S Kalamath St","Denver","Colorado","80223",NA,1,"MISSING","Pay",308508,334942,18386,713252,88638,0.0548930859671227,0.124273047955,0,3,525770,286887,0.402223898425802,0,0.570532742453925,1,c(-104.9986722, 39.712484)
